time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 22.09.2021 - 04:00 LSEČ,Bratislava - Mlynská Dolina,9.5 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 04:00 LSEČ,Bratislava Ivanka,11.6 °C,Z,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 04:00 LSEČ,Bratislava Koliba,9.6 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 05:00 LSEČ,Bratislava - Mlynská Dolina,9.5 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 05:00 LSEČ,Bratislava Ivanka,11.6 °C,Z,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 05:00 LSEČ,Bratislava Koliba,9.2 °C,Z,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 05:00 LSEČ,Bratislava - Mlynská Dolina,9.5 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 05:00 LSEČ,Bratislava Ivanka,11.6 °C,Z,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 05:00 LSEČ,Bratislava Koliba,9.2 °C,Z,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 06:00 LSEČ,Bratislava - Mlynská Dolina,10.9 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 06:00 LSEČ,Bratislava Ivanka,11.1 °C,PREM,1 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 06:00 LSEČ,Bratislava Koliba,9.6 °C,Z,4 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 06:00 LSEČ,Bratislava - Mlynská Dolina,10.9 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 06:00 LSEČ,Bratislava Ivanka,11.1 °C,PREM,1 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 06:00 LSEČ,Bratislava Koliba,9.6 °C,Z,4 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 07:00 LSEČ,Bratislava - Mlynská Dolina,9.8 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 07:00 LSEČ,Bratislava Ivanka,10.2 °C,Z,5 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 07:00 LSEČ,Bratislava Koliba,8.9 °C,Z,3 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 07:00 LSEČ,Bratislava - Mlynská Dolina,9.8 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 07:00 LSEČ,Bratislava Ivanka,10.2 °C,Z,5 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 07:00 LSEČ,Bratislava Koliba,8.9 °C,Z,3 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 08:00 LSEČ,Bratislava - Mlynská Dolina,9.6 °C,JZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 08:00 LSEČ,Bratislava Ivanka,10.1 °C,Z,4 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 08:00 LSEČ,Bratislava Koliba,8.9 °C,Z,2 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 08:00 LSEČ,Bratislava - Mlynská Dolina,9.6 °C,JZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 08:00 LSEČ,Bratislava Ivanka,10.1 °C,Z,4 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 08:00 LSEČ,Bratislava Koliba,8.9 °C,Z,2 m/s,,Zamračené,Dážď
